t,1.0Y,2.0Y,3.0Y,5.0Y,10.0Y,20.0Y,25.0Y
1,0.06714223473,0.0649907054599999,0.06153406099,0.05572294025,0.04086540302,0.03364305104,0.03990752479
2,0.0671186736156515,0.0648387052728809,0.0612903890202848,0.0553440796626662,0.0403499509462548,0.0332810329219567,0.0395677177503635
3,0.0670888580498452,0.0647229869193462,0.0611298726836763,0.0551518188148116,0.040295254861013,0.033616956132248,0.0396666378322095
4,0.0666500284785349,0.0642812679082083,0.0607076356166293,0.0547767805432664,0.0400402083379014,0.0334705486500736,0.0394155244591361
5,0.0662039003650488,0.0639434287279488,0.0604759683475809,0.0547006940568053,0.0400722952571215,0.0332493301489824,0.0392533422152988
6,0.067051987365227,0.0646930861361605,0.0611553249368597,0.0552656946336296,0.040462159793192,0.0336489729706055,0.0397593433475302
7,0.0665958323501661,0.0642494464045625,0.0607528541376415,0.0549696834617987,0.0404850653105717,0.0340018462027491,0.0397979357966721
8,0.065955995492097,0.0637736281132485,0.0604308216978948,0.0548768380123506,0.0405826893275178,0.0337846449917455,0.0396193188322232
9,0.0661270128751484,0.0638029397808953,0.0603750303475015,0.0547506780794951,0.040675157171773,0.0345532821915483,0.0399801731857195
10,0.0667268142000043,0.0642729278432434,0.0607536620923858,0.0550006342118378,0.0408291968942032,0.0349231265091538,0.0403212825460507
11,0.0670584291831876,0.0645772451986622,0.0610555034598345,0.0553141285777822,0.0412172861454337,0.0354377066347566,0.0407487160654987
12,0.0674836336687314,0.0648938992024464,0.0612878154512262,0.0553956961867811,0.0410097309740624,0.0351204557718827,0.040654241634428
13,0.0667692605118954,0.0641501132370408,0.0605324665501123,0.0546167931488452,0.0401581980943802,0.0342048305512994,0.0398183629733944
14,0.0668678834138258,0.0641163305888151,0.0604228677234354,0.0544560883290432,0.0402641865328643,0.0350251425737115,0.0401870584872222
15,0.066324398346439,0.0636507725810153,0.0600437690747479,0.0542229504625169,0.0402389630225684,0.034979931416384,0.0400422526806774
16,0.0667965058763871,0.0641632490493724,0.0606035422113302,0.0548477757400683,0.0408777116839007,0.0354548662931651,0.0405904982193326
17,0.0664913975276408,0.0638729424087344,0.0603404187346262,0.0546242425718603,0.0406692428466059,0.0351642929095129,0.0403371105481707
18,0.0675838828915782,0.0649533442975291,0.0614197237861348,0.055684174631559,0.0416008776893116,0.0359050321574346,0.041244022168251
19,0.0676068412099937,0.0649513280113232,0.0614130122317517,0.0556748928462164,0.0415973030787301,0.0359317735360937,0.0412645961623608
20,0.0674008854588821,0.0648088449050933,0.0613323469069347,0.0556668733825359,0.0415363274526253,0.0355469927524881,0.0410608152779636
