t,expiry,tenor,swap_rate
1.0,1M,1Y,0.06811532439668232
1.0,1M,2Y,0.0675752785424908
1.0,1M,3Y,0.06646083852975121
1.0,1M,5Y,0.06386276438081744
1.0,1M,10Y,0.057422154372037806
1.0,1M,20Y,0.049757764052427836
1.0,1M,25Y,0.048126035936144826
1.0,3M,1Y,0.06792724581806373
1.0,3M,2Y,0.06728498959449057
1.0,3M,3Y,0.06608275490961442
1.0,3M,5Y,0.06344141498407788
1.0,3M,10Y,0.05696135302473349
1.0,3M,20Y,0.049417514988418634
1.0,3M,25Y,0.047853874086188346
1.0,6M,1Y,0.06800851730837304
1.0,6M,2Y,0.06698942711449599
1.0,6M,3Y,0.06561002366462598
1.0,6M,5Y,0.06285724402382896
1.0,6M,10Y,0.056295054985635494
1.0,6M,20Y,0.04892218784401765
1.0,6M,25Y,0.04745726888352205
1.0,9M,1Y,0.06738255503552039
1.0,9M,2Y,0.06630592311443594
1.0,9M,3Y,0.06489432824040259
1.0,9M,5Y,0.062131367337852954
1.0,9M,10Y,0.055573426234782335
1.0,9M,20Y,0.04840493450005028
1.0,9M,25Y,0.04704099626816642
1.0,1Y,1Y,0.0671789613767845
1.0,1Y,2Y,0.06577959439109457
1.0,1Y,3Y,0.06428527710348833
1.0,1Y,5Y,0.061458998941239455
1.0,1Y,10Y,0.05488075041085133
1.0,1Y,20Y,0.04790561194948015
1.0,1Y,25Y,0.046638429579940854
1.0,2Y,1Y,0.0642876541185573
1.0,2Y,2Y,0.06269580038610612
1.0,2Y,3Y,0.06122540328981599
1.0,2Y,5Y,0.05839343110830785
1.0,2Y,10Y,0.0520483872357709
1.0,2Y,20Y,0.04594256847576687
1.0,2Y,25Y,0.04504467096653534
1.0,3Y,1Y,0.061004068314415814
1.0,3Y,2Y,0.05955110548088076
1.0,3Y,3Y,0.058114898092484414
1.0,3Y,5Y,0.05529125149682387
1.0,3Y,10Y,0.0494061834156195
1.0,3Y,20Y,0.04419070498627803
1.0,3Y,25Y,0.043607546322107366
1.0,4Y,1Y,0.05801151350620405
1.0,4Y,2Y,0.05654210992804807
1.0,4Y,3Y,0.05508807172973564
1.0,4Y,5Y,0.0522435857014039
1.0,4Y,10Y,0.047017362894032584
1.0,4Y,20Y,0.04268614940974551
1.0,4Y,25Y,0.04235406723200698
1.0,5Y,1Y,0.05498964695748726
1.0,5Y,2Y,0.053503567714194816
1.0,5Y,3Y,0.05204238153350908
1.0,5Y,5Y,0.04918563587119054
1.0,5Y,10Y,0.04485613020987791
1.0,5Y,20Y,0.041411672540776094
1.0,5Y,25Y,0.04126590796036659
1.0,6Y,1Y,0.051938139374801594
1.0,6Y,2Y,0.05045200434051578
1.0,6Y,3Y,0.048989221899952536
1.0,6Y,5Y,0.046334448403195345
1.0,6Y,10Y,0.042935292848203126
1.0,6Y,20Y,0.04035159170019327
1.0,6Y,25Y,0.0403458760096565
1.0,7Y,1Y,0.04889116304434062
1.0,7Y,2Y,0.04740497549722482
1.0,7Y,3Y,0.045940604077340894
1.0,7Y,5Y,0.043922131770533106
1.0,7Y,10Y,0.04126628821670596
1.0,7Y,20Y,0.039488796204281106
1.0,7Y,25Y,0.03959703884029019
1.0,8Y,1Y,0.045848711238184445
1.0,8Y,2Y,0.04436247445698157
1.0,8Y,3Y,0.04326207780459242
1.0,8Y,5Y,0.041968640463590494
1.0,8Y,10Y,0.039855382746608735
1.0,8Y,20Y,0.03882514333160791
1.0,8Y,25Y,0.03902081756736838
1.0,9Y,1Y,0.04281077723840085
1.0,9Y,2Y,0.04188423643231045
1.0,9Y,3Y,0.041339561697134514
1.0,9Y,5Y,0.04049058113350289
1.0,9Y,10Y,0.03870839096241326
1.0,9Y,20Y,0.03836320046926865
1.0,9Y,25Y,0.038619415442346955
1.0,10Y,1Y,0.0409190832753848
1.0,10Y,2Y,0.040557988862264166
1.0,10Y,3Y,0.04020170983833372
1.0,10Y,5Y,0.03950305591448263
1.0,10Y,10Y,0.037831250712886996
1.0,10Y,20Y,0.03810660598610085
1.0,10Y,25Y,0.03839608905356741
1.0,12Y,1Y,0.03944552536254485
1.0,12Y,2Y,0.039084425832618466
1.0,12Y,3Y,0.0387279612994828
1.0,12Y,5Y,0.03802839701071683
1.0,12Y,10Y,0.03669559727270523
1.0,12Y,20Y,0.037897846909014425
1.0,12Y,25Y,0.03821351220748995
1.0,15Y,1Y,0.0372371831007717
1.0,15Y,2Y,0.036876076248589636
1.0,15Y,3Y,0.03651933424317685
1.0,15Y,5Y,0.03581840707254324
1.0,15Y,10Y,0.036365734524958955
1.0,15Y,20Y,0.037965136445587584
1.0,15Y,25Y,0.038270104008427716
1.0,20Y,1Y,0.03456205235874827
1.0,20Y,2Y,0.035188255582946894
1.0,20Y,3Y,0.03580671326482997
1.0,20Y,5Y,0.03701883500880906
1.0,20Y,10Y,0.038503852288905425
1.0,20Y,20Y,0.03922953256658696
1.0,20Y,25Y,0.03936887873451103
1.0,25Y,1Y,0.04030833890142134
1.0,25Y,2Y,0.0403083389014215
1.0,25Y,3Y,0.040308338901421555
1.0,25Y,5Y,0.04030833890142158
1.0,25Y,10Y,0.040308338901421596
1.0,25Y,20Y,0.04030833890142162
1.0,25Y,25Y,0.040308338901421596
1.0,30Y,1Y,0.040308338901421534
1.0,30Y,2Y,0.040308338901421624
1.0,30Y,3Y,0.04030833890142159
